epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6061,1.7839,2.98264,1.72538,0.6699,0.5566,0.59198,0.31352,1.5649,1.38845,1.6274,0.0810651,0.000996575,0.000996575
2,154.834,1.57139,1.47272,1.52063,0.8238,0.68499,0.75263,0.43618,1.41971,0.94327,1.4851,0.0620157,0.00194716,0.00194716
3,231.115,1.46858,1.19418,1.43628,0.85267,0.72518,0.79148,0.46991,1.35426,0.80756,1.42225,0.0429167,0.00284824,0.00284824
4,307.219,1.40541,1.07842,1.3907,0.8665,0.74878,0.81486,0.50473,1.28764,0.75511,1.34602,0.0237683,0.00369983,0.00369983
5,383.255,1.38309,1.02838,1.36746,0.84882,0.73687,0.80347,0.49923,1.26985,0.77234,1.32907,0.00457041,0.00450191,0.00450191
6,459.289,1.36526,0.99676,1.35274,0.88458,0.77051,0.8401,0.53809,1.21797,0.68147,1.30584,0.00438125,0.00438125,0.00438125
7,535.194,1.3293,0.94093,1.3314,0.8927,0.7926,0.85542,0.5593,1.17575,0.6372,1.27068,0.0042575,0.0042575,0.0042575
8,78.3789,1.28572,0.89052,1.3056,0.89732,0.80583,0.86506,0.57618,1.11627,0.59569,1.22511,0.00413375,0.00413375,0.00413375
9,154.451,1.25488,0.85549,1.28135,0.90927,0.81476,0.88237,0.59847,1.08694,0.56068,1.19495,0.00401,0.00401,0.00401
10,230.566,1.22435,0.82105,1.26267,0.91366,0.82145,0.88743,0.61289,1.05065,0.54181,1.18296,0.00388625,0.00388625,0.00388625
11,306.395,1.18777,0.79035,1.24364,0.91711,0.83652,0.89909,0.62591,1.02992,0.51959,1.16606,0.0037625,0.0037625,0.0037625
12,381.552,1.15675,0.75716,1.22298,0.91863,0.84289,0.90402,0.6365,0.99893,0.49801,1.14673,0.00363875,0.00363875,0.00363875
13,456.734,1.12988,0.73567,1.2084,0.92345,0.85009,0.90969,0.64988,0.97407,0.48335,1.13759,0.003515,0.003515,0.003515
14,531.996,1.108,0.71494,1.19456,0.9301,0.85384,0.91381,0.66135,0.944,0.46235,1.1139,0.00339125,0.00339125,0.00339125
15,89.7661,1.07838,0.6889,1.18014,0.93475,0.85528,0.9169,0.66969,0.9267,0.45159,1.10382,0.0032675,0.0032675,0.0032675
15,79.5327,1.07838,0.6889,1.18014,0.93475,0.85528,0.9169,0.66969,0.9267,0.45159,1.10382,0.0032675,0.0032675,0.0032675
16,156.627,1.06416,0.67532,1.16866,0.93368,0.86551,0.92422,0.67965,0.9045,0.43682,1.08098,0.00314375,0.00314375,0.00314375
17,233.118,1.04145,0.66007,1.15771,0.93938,0.86442,0.92691,0.68455,0.89997,0.42869,1.07908,0.00302,0.00302,0.00302
18,309.637,1.01593,0.64314,1.14593,0.93633,0.8723,0.9282,0.6896,0.88549,0.41739,1.07174,0.00289625,0.00289625,0.00289625
19,386.136,0.99387,0.62232,1.13245,0.94307,0.87407,0.93183,0.69892,0.86303,0.40829,1.0636,0.0027725,0.0027725,0.0027725
20,462.86,0.97147,0.61057,1.11984,0.94328,0.87751,0.9342,0.69968,0.86617,0.40087,1.06339,0.00264875,0.00264875,0.00264875
21,539.908,0.95803,0.59738,1.11095,0.94721,0.88097,0.93923,0.71254,0.84026,0.38873,1.0466,0.002525,0.002525,0.002525
22,77.1604,0.93116,0.57712,1.0979,0.94841,0.8847,0.93938,0.72064,0.82063,0.37778,1.02594,0.00240125,0.00240125,0.00240125
23,152.643,0.9209,0.57022,1.0919,0.95209,0.88921,0.94401,0.72712,0.80311,0.37002,1.02286,0.0022775,0.0022775,0.0022775
24,227.254,0.90387,0.56055,1.0832,0.94909,0.88864,0.94316,0.7308,0.78797,0.36416,1.01027,0.00215375,0.00215375,0.00215375
25,301.562,0.88265,0.54796,1.07639,0.95085,0.89206,0.94522,0.73332,0.78491,0.36141,1.01372,0.00203,0.00203,0.00203
26,375.572,0.86267,0.5319,1.06338,0.95517,0.89508,0.94756,0.74067,0.76625,0.35244,1.00107,0.00190625,0.00190625,0.00190625
27,449.811,0.84468,0.52115,1.05336,0.95294,0.89918,0.94885,0.74419,0.75962,0.34876,0.99658,0.0017825,0.0017825,0.0017825
28,524.088,0.83755,0.51496,1.04916,0.95417,0.90115,0.94893,0.74928,0.74279,0.34395,0.98298,0.00165875,0.00165875,0.00165875
29,598.318,0.92944,0.57456,1.09354,0.95884,0.89817,0.95065,0.75504,0.73268,0.34056,0.97862,0.001535,0.001535,0.001535
30,672.557,0.91806,0.56906,1.09069,0.95867,0.90249,0.95292,0.75881,0.72461,0.33202,0.97379,0.00141125,0.00141125,0.00141125
31,748.413,0.81944,0.40661,1.03758,0.96178,0.90535,0.95509,0.76371,0.71172,0.32661,0.97092,0.0012875,0.0012875,0.0012875
32,822.095,0.78442,0.39102,1.02108,0.96304,0.90695,0.95652,0.77131,0.69193,0.31901,0.9636,0.00116375,0.00116375,0.00116375
33,895.726,0.7585,0.37682,1.00782,0.96349,0.90939,0.95831,0.77677,0.68038,0.31359,0.95988,0.00104,0.00104,0.00104
34,969.433,0.74044,0.36983,1.00024,0.96254,0.91306,0.95946,0.78106,0.67015,0.30928,0.95536,0.00091625,0.00091625,0.00091625
35,1043.15,0.71711,0.35806,0.98323,0.96413,0.91356,0.96042,0.78619,0.65692,0.30364,0.94474,0.0007925,0.0007925,0.0007925
36,1116.86,0.6974,0.34985,0.97313,0.96771,0.91336,0.96149,0.79022,0.64684,0.29902,0.94105,0.00066875,0.00066875,0.00066875
37,1190.76,0.68208,0.34401,0.96592,0.96783,0.91532,0.96256,0.79347,0.6379,0.29524,0.93608,0.000545,0.000545,0.000545
38,77.9199,0.77557,0.4827,1.02467,0.96672,0.91693,0.96304,0.79589,0.63351,0.29387,0.93311,0.00042125,0.00042125,0.00042125
39,155.022,0.75349,0.46677,1.01339,0.96728,0.91535,0.96205,0.79371,0.63905,0.29493,0.93609,0.0002975,0.0002975,0.0002975
40,232.043,0.74004,0.45964,1.00766,0.96446,0.9173,0.96187,0.79328,0.6392,0.29473,0.93632,0.00017375,0.00017375,0.00017375
